id;owners
421;leiriacon
56257;leiriacon
250621;leiriacon
257668;leiriacon
279306;leiriacon
68448;leiriacon
204592;leiriacon
194880;leiriacon
257077;leiriacon
130792;leiriacon,leiriacon
230085;leiriacon
256442;leiriacon
6249;leiriacon
42470;leiriacon
192032;leiriacon
2651;leiriacon
5404;leiriacon
232303;leiriacon
19600;leiriacon
13122;leiriacon
159508;leiriacon
246150;leiriacon
198287;leiriacon
203410;leiriacon
131118;leiriacon
245325;leiriacon
39351;leiriacon
230802;leiriacon
256226;leiriacon
266164;leiriacon
251247;leiriacon
760;leiriacon
28723;leiriacon
134068;leiriacon
148282;leiriacon
170216;leiriacon
274688;leiriacon
11;leiriacon
28720;leiriacon
188343;leiriacon
275913;leiriacon
552;leiriacon
60954;leiriacon
255455;leiriacon
72131;leiriacon
72131;leiriacon
245934;leiriacon
18602;leiriacon
169318;leiriacon
214880;leiriacon
216132;leiriacon
72225;leiriacon
124361;leiriacon
269595;leiriacon
168900;leiriacon
234920;leiriacon
230267;leiriacon
260239;leiriacon
125675;leiriacon
260330;leiriacon
256380;leiriacon
215311;leiriacon
205080;leiriacon
503;leiriacon
257378;leiriacon
41916;leiriacon
286431;leiriacon
200;leiriacon
175621;leiriacon
220780;leiriacon
169318;leiriacon
256381;leiriacon
13823;leiriacon
199478;leiriacon
284825;leiriacon
13904;leiriacon
175914;leiriacon
256769;leiriacon
262540;leiriacon
220308;leiriacon
31621;leiriacon
282918;leiriacon
35285;leiriacon
265188;leiriacon
9216;leiriacon
182874;leiriacon
254088;leiriacon
134157;leiriacon
216578;leiriacon
98778;leiriacon
227789;leiriacon,leiriacon
206859;leiriacon
177524;leiriacon
13780;leiriacon
161882;leiriacon
148949;leiriacon
285792;leiriacon
109276;leiriacon
252446;leiriacon
275067;leiriacon
205507;leiriacon
107529;leiriacon
193512;leiriacon
135;leiriacon
117854;leiriacon
48;leiriacon
146886;leiriacon
243993;leiriacon
130792;leiriacon
1219;leiriacon
65333;leiriacon
39927;leiriacon
35677;leiriacon
275467;leiriacon
222407;leiriacon
161533;leiriacon
103328;leiriacon
235512;leiriacon
228409;leiriacon
245643;leiriacon
95527;leiriacon
209778;leiriacon
209778;leiriacon
9440;leiriacon
276025;leiriacon
40354;leiriacon
119881;leiriacon
184424;leiriacon
531;leiriacon
24669;leiriacon
203042;leiriacon
105187;leiriacon
192203;leiriacon
222951;leiriacon
118;leiriacon
233955;leiriacon
35435;leiriacon
280812;leiriacon
244711;leiriacon
207351;leiriacon
154809;leiriacon
206931;leiriacon
233676;leiriacon
191438;leiriacon
25554;leiriacon
286791;leiriacon
234277;leiriacon
172938;leiriacon
41916;leiriacon
62518;leiriacon
242630;leiriacon
70323;leiriacon
74553;leiriacon
231733;leiriacon
123219;leiriacon
269160;leiriacon
53621;leiriacon
276004;leiriacon
255507;leiriacon
284949;leiriacon
287275;leiriacon
129050;leiriacon
248167;leiriacon
255034;leiriacon
5825;leiriacon
46213;leiriacon,leiriacon
163412;leiriacon,leiriacon
220778;leiriacon
284108;leiriacon
256730;leiriacon
3076;leiriacon
127997;leiriacon
139842;leiriacon
114863;leiriacon
207691;leiriacon
220877;leiriacon
257834;leiriacon
242684;leiriacon
244228;leiriacon
164091;leiriacon
241831;leiriacon
191986;leiriacon
218293;leiriacon
234093;leiriacon
74390;leiriacon
205498;leiriacon
9220;leiriacon
199561;leiriacon
3;leiriacon
276830;leiriacon
8125;leiriacon
104347;leiriacon
170199;leiriacon
20551;leiriacon
177678;leiriacon
255037;leiriacon
239964;leiriacon
246684;leiriacon
170199;leiriacon
206802;leiriacon
148228;leiriacon
121410;leiriacon
266980;leiriacon
204;leiriacon
257669;leiriacon
186501;leiriacon
230514;leiriacon
257722;leiriacon
475;leiriacon
238889;leiriacon
17161;leiriacon
120677;leiriacon
272427;leiriacon
226322;leiriacon
261529;leiriacon
240567;leiriacon
13004;leiriacon
165884;leiriacon
177875;leiriacon
283863;leiriacon
193558;leiriacon
555;leiriacon
257759;leiriacon
177538;leiriacon
1345;leiriacon
282438;leiriacon
21790;leiriacon
215;leiriacon
9209;leiriacon
215463;leiriacon
191877;leiriacon
250754;leiriacon
175293;leiriacon
163805;leiriacon
30957;leiriacon
281442;leiriacon
219512;leiriacon
126163;leiriacon
25420;leiriacon
41002;leiriacon
245371;leiriacon
172;leiriacon
2596;leiriacon
175640;leiriacon
87120;leiriacon
194690;leiriacon,leiriacon
233867;leiriacon
229265;leiriacon
221318;leiriacon
266192;leiriacon
79068;leiriacon
266460;leiriacon
32996;leiriacon
283294;leiriacon
160495;leiriacon